batch_size,epochs,hidden_units,train_loss,val_loss,train_mae,val_mae
32,10,32,2612.438,2513.728,30.448,29.866
32,20,32,1268.810,1222.958,21.422,20.977
32,30,32,680.262,681.045,15.539,15.422
32,40,32,481.286,498.521,12.653,12.678
32,50,32,421.180,457.605,11.409,11.656
32,60,32,398.965,448.063,10.854,11.341
32,70,32,387.134,442.290,10.567,11.159
32,80,32,377.979,435.371,10.364,10.972
32,90,32,372.697,430.232,10.256,10.822
32,100,32,366.753,427.541,10.134,10.765
32,110,32,361.609,427.283,10.036,10.732
32,120,32,356.199,430.994,9.952,10.788
32,130,32,351.412,427.161,9.872,10.712
32,140,32,347.174,424.533,9.799,10.666
32,150,32,342.972,421.598,9.731,10.609
32,10,64,1374.648,1296.359,22.052,21.278
32,20,64,546.575,550.968,13.629,13.519
32,30,64,417.251,451.648,11.333,11.614
32,40,64,386.159,427.930,10.614,11.031
32,50,64,370.594,421.984,10.273,10.828
32,60,64,359.201,423.667,10.059,10.766
32,70,64,348.811,425.651,9.869,10.737
32,80,64,339.593,423.631,9.703,10.703
32,90,64,331.544,422.528,9.568,10.639
32,100,64,321.775,423.713,9.392,10.687
32,110,64,314.445,436.202,9.276,10.875
32,120,64,307.245,439.188,9.154,10.907
32,130,64,297.920,434.221,8.984,10.815
32,140,64,292.114,444.100,8.899,10.940
32,150,64,284.505,442.901,8.762,10.965
32,10,128,618.641,603.323,14.621,14.357
32,20,128,406.074,446.673,11.076,11.503
32,30,128,368.956,426.537,10.251,10.973
32,40,128,347.959,430.910,9.836,10.865
32,50,128,329.342,432.173,9.494,10.864
32,60,128,311.689,433.739,9.171,10.820
32,70,128,296.356,438.502,8.906,10.909
32,80,128,283.593,447.259,8.680,11.051
32,90,128,270.573,447.260,8.447,11.003
32,100,128,261.547,445.801,8.296,10.957
32,110,128,252.112,447.663,8.109,10.975
32,120,128,242.266,452.131,7.925,11.019
32,130,128,236.841,454.508,7.837,11.073
32,140,128,228.120,450.788,7.682,10.993
32,150,128,220.034,462.189,7.527,11.150
32,10,256,433.704,450.830,11.667,11.879
32,20,256,373.148,415.384,10.314,10.923
32,30,256,344.901,421.399,9.777,10.779
32,40,256,320.833,430.181,9.336,10.834
32,50,256,299.441,448.666,8.948,11.024
32,60,256,279.883,452.807,8.596,10.980
32,70,256,262.467,458.021,8.269,11.084
32,80,256,247.534,461.356,7.992,11.154
32,90,256,235.074,463.102,7.751,11.163
32,100,256,222.526,469.101,7.509,11.185
32,110,256,215.108,466.881,7.373,11.195
32,120,256,207.497,475.750,7.229,11.323
32,130,256,196.151,473.681,6.986,11.285
32,140,256,192.224,476.283,6.898,11.306
32,150,256,181.758,468.595,6.680,11.218
32,10,512,405.044,423.410,10.964,11.353
32,20,512,371.801,411.807,10.247,10.777
32,30,512,344.874,421.595,9.760,10.832
32,40,512,317.875,428.606,9.272,10.802
32,50,512,293.461,438.581,8.860,10.928
32,60,512,271.679,447.456,8.463,10.968
32,70,512,253.341,449.485,8.135,10.992
32,80,512,239.208,451.519,7.869,11.043
32,90,512,223.900,455.411,7.584,11.100
32,100,512,213.256,460.708,7.372,11.097
32,110,512,197.911,462.902,7.040,11.141
32,120,512,186.679,465.703,6.817,11.179
32,130,512,175.811,464.603,6.591,11.155
32,140,512,170.144,457.687,6.473,11.084
32,150,512,160.905,462.782,6.265,11.118
64,10,32,3772.326,3692.687,36.318,36.003
64,20,32,2517.804,2471.280,29.885,29.703
64,30,32,1722.080,1692.207,24.905,24.848
64,40,32,1182.905,1181.364,20.670,20.892
64,50,32,842.550,860.907,17.439,17.756
64,60,32,641.117,659.343,15.155,15.420
64,70,32,523.803,552.632,13.495,13.850
64,80,32,458.756,500.041,12.339,12.833
64,90,32,424.203,467.236,11.601,12.132
64,100,32,404.479,446.306,11.117,11.620
64,110,32,391.449,435.901,10.792,11.331
64,120,32,382.051,428.359,10.561,11.101
64,130,32,374.291,422.928,10.378,10.933
64,140,32,368.665,417.914,10.245,10.821
64,150,32,363.481,417.167,10.134,10.764
64,10,64,2570.329,2476.088,30.129,29.478
64,20,64,1256.069,1234.973,20.947,20.917
64,30,64,715.206,745.305,15.745,16.061
64,40,64,505.245,539.069,13.005,13.361
64,50,64,426.496,472.842,11.630,12.179
64,60,64,391.313,443.317,10.873,11.527
64,70,64,371.675,433.138,10.426,11.211
64,80,64,357.787,428.953,10.117,11.072
64,90,64,348.046,424.081,9.912,10.953
64,100,64,337.912,421.316,9.722,10.866
64,110,64,328.485,421.935,9.554,10.843
64,120,64,320.994,425.824,9.413,10.837
64,130,64,313.129,429.862,9.278,10.854
64,140,64,305.691,433.265,9.150,10.884
64,150,64,299.619,437.191,9.039,10.923
64,10,128,1329.122,1274.936,21.464,21.147
64,20,128,561.909,585.786,13.806,14.033
64,30,128,415.616,467.443,11.444,12.096
64,40,128,370.818,436.589,10.492,11.333
64,50,128,346.760,428.188,9.946,10.977
64,60,128,330.412,427.290,9.609,10.838
64,70,128,313.078,431.315,9.282,10.786
64,80,128,299.280,433.940,9.005,10.754
64,90,128,287.611,438.368,8.790,10.787
64,100,128,277.546,440.776,8.629,10.810
64,110,128,267.976,447.340,8.459,10.884
64,120,128,261.162,449.946,8.319,10.946
64,130,128,254.288,452.924,8.180,10.960
64,140,128,247.399,457.102,8.057,10.974
64,150,128,240.967,455.686,7.932,10.948
64,10,256,605.575,619.811,14.473,14.590
64,20,256,396.980,448.996,11.008,11.598
64,30,256,354.955,433.230,10.085,11.082
64,40,256,328.723,432.277,9.543,10.860
64,50,256,309.338,436.716,9.171,10.892
64,60,256,291.166,440.311,8.817,10.888
64,70,256,274.471,441.765,8.503,10.884
64,80,256,262.256,440.134,8.271,10.805
64,90,256,251.331,453.723,8.064,10.950
64,100,256,239.232,456.517,7.823,11.010
64,110,256,229.547,461.081,7.641,11.010
64,120,256,219.556,458.887,7.450,10.938
64,130,256,210.135,464.775,7.265,11.058
64,140,256,204.552,464.643,7.145,11.068
