batch_size,epochs,hidden_units,train_loss,val_loss,train_mae,val_mae
64,110,512,224.618,466.750,7.502,11.201
64,120,512,215.839,463.222,7.326,11.101
64,130,512,206.433,470.904,7.135,11.216
64,140,512,201.555,469.544,7.043,11.181
64,150,512,194.502,474.685,6.883,11.251
128,10,32,4634.603,4578.638,40.010,39.963
128,20,32,3703.971,3663.608,35.927,35.935
128,30,32,3004.971,2974.587,32.465,32.562
128,40,32,2455.642,2432.802,29.480,29.560
128,50,32,2010.986,1993.148,26.740,26.800
128,60,32,1641.122,1629.227,24.144,24.273
128,70,32,1340.608,1341.590,21.796,22.033
128,80,32,1107.929,1117.262,19.836,20.072
128,90,32,927.692,946.036,18.184,18.453
128,100,32,787.399,808.306,16.769,17.025
128,110,32,679.338,700.749,15.554,15.793
128,120,32,597.017,620.026,14.524,14.774
128,130,32,535.288,561.469,13.657,13.943
128,140,32,489.502,519.253,12.932,13.284
128,150,32,455.597,488.534,12.325,12.739
128,10,64,3719.054,3636.424,36.046,35.755
128,20,64,2487.407,2439.923,29.650,29.592
128,30,64,1707.004,1677.726,24.501,24.536
128,40,64,1195.237,1201.762,20.396,20.768
128,50,64,880.162,892.687,17.483,17.798
128,60,64,683.847,712.053,15.369,15.759
128,70,64,560.351,594.692,13.808,14.272
128,80,64,484.317,533.833,12.674,13.364
128,90,64,437.921,495.825,11.869,12.710
128,100,64,407.944,474.276,11.285,12.263
128,110,64,387.704,455.730,10.864,11.844
128,120,64,372.791,447.183,10.543,11.593
128,130,64,361.782,442.831,10.304,11.431
128,140,64,352.173,436.535,10.098,11.259
128,150,64,345.163,435.639,9.943,11.178
128,10,128,2516.530,2421.170,29.691,29.214
128,20,128,1229.407,1233.908,20.456,20.967
128,30,128,730.231,751.570,15.736,16.093
128,40,128,523.604,570.880,13.206,13.893
128,50,128,432.230,498.598,11.776,12.693
128,60,128,383.555,463.939,10.888,12.013
128,70,128,357.612,453.791,10.344,11.637
128,80,128,338.752,446.364,9.937,11.381
128,90,128,323.726,443.598,9.609,11.226
128,100,128,311.630,445.044,9.354,11.138
128,110,128,302.285,442.083,9.147,11.017
128,120,128,294.411,441.714,8.965,10.934
128,130,128,289.566,441.246,8.854,10.915
128,140,128,284.690,446.111,8.747,10.962
128,150,128,278.203,446.494,8.613,10.948
128,10,256,1288.321,1241.799,21.072,21.036
128,20,256,553.923,580.893,13.675,14.094
128,30,256,410.056,471.863,11.391,12.211
128,40,256,362.161,450.152,10.431,11.640
128,50,256,337.998,450.387,9.870,11.398
128,60,256,319.588,449.260,9.461,11.259
