batch_size,epochs,hidden_units,train_loss,val_loss,train_mae,val_mae
32,10,32,2638.966,2539.231,30.516,30.004
32,20,32,1270.238,1231.768,21.286,21.018
32,30,32,689.727,687.796,15.589,15.538
32,40,32,496.230,507.777,12.911,12.929
32,50,32,432.165,455.251,11.645,11.847
32,60,32,410.990,444.315,11.144,11.501
32,70,32,396.465,438.034,10.810,11.280
32,80,32,387.085,440.428,10.601,11.217
32,90,32,379.083,439.028,10.441,11.138
32,100,32,371.723,441.474,10.313,11.137
32,110,32,366.286,449.349,10.217,11.222
32,120,32,361.113,450.488,10.140,11.241
32,130,32,354.974,448.695,10.033,11.193
32,140,32,349.945,445.934,9.953,11.132
32,150,32,344.056,448.068,9.865,11.155
32,10,64,1398.171,1316.777,22.399,21.737
32,20,64,561.948,571.932,13.933,13.952
32,30,64,428.634,466.492,11.619,12.003
32,40,64,394.834,444.570,10.809,11.361
32,50,64,376.166,444.714,10.411,11.235
32,60,64,361.661,437.540,10.144,11.077
32,70,64,347.213,441.515,9.892,11.059
32,80,64,334.837,453.671,9.710,11.208
32,90,64,321.449,453.694,9.511,11.204
32,100,64,308.549,459.642,9.318,11.266
32,110,64,299.109,457.175,9.170,11.217
32,120,64,288.284,465.221,9.002,11.305
32,130,64,278.868,465.480,8.868,11.255
32,140,64,266.290,472.237,8.651,11.331
32,150,64,261.676,475.622,8.579,11.388
32,10,128,631.561,603.062,14.907,14.447
32,20,128,412.039,460.917,11.221,11.606
32,30,128,372.009,429.138,10.329,10.829
32,40,128,348.638,431.408,9.891,10.784
32,50,128,324.961,431.176,9.508,10.824
32,60,128,303.115,434.590,9.158,10.806
32,70,128,284.711,439.832,8.850,10.857
32,80,128,267.291,444.525,8.589,10.920
32,90,128,251.386,460.967,8.327,11.145
32,100,128,235.295,477.258,8.043,11.338
32,110,128,223.588,482.182,7.850,11.420
32,120,128,208.957,492.805,7.589,11.536
32,130,128,199.613,493.372,7.427,11.547
32,140,128,189.300,498.457,7.228,11.625
32,150,128,184.403,497.583,7.139,11.645
32,10,256,442.435,464.278,11.854,11.874
32,20,256,379.509,428.704,10.429,10.859
32,30,256,350.369,422.332,9.840,10.635
32,40,256,324.782,421.643,9.419,10.609
32,50,256,294.150,436.807,8.924,10.767
32,60,256,271.885,441.078,8.568,10.764
32,70,256,242.340,444.485,8.089,10.748
32,80,256,223.089,455.467,7.757,10.980
32,90,256,205.247,463.248,7.442,11.122
32,100,256,190.940,470.567,7.203,11.181
32,110,256,174.062,483.748,6.878,11.354
32,120,256,155.853,475.903,6.519,11.309
32,130,256,147.336,484.282,6.353,11.400
32,140,256,135.977,478.719,6.131,11.375
32,150,256,125.517,488.503,5.890,11.494
32,10,512,408.205,435.337,11.011,11.336
32,20,512,371.424,417.140,10.223,10.689
32,30,512,335.200,421.557,9.597,10.701
32,40,512,299.485,433.466,9.053,10.797
32,50,512,263.345,460.447,8.481,11.180
32,60,512,228.443,482.527,7.903,11.402
32,70,512,203.575,482.446,7.503,11.395
32,80,512,177.432,483.343,6.999,11.503
