batch_size,epochs,hidden_units,train_loss,val_loss,train_mae,val_mae
32,10,32,2642.421,2543.859,30.500,30.034
32,20,32,1285.736,1255.637,21.482,21.321
32,30,32,713.937,716.109,16.007,15.955
32,40,32,505.792,534.566,13.152,13.303
32,50,32,438.418,478.093,11.837,12.165
32,60,32,412.380,457.664,11.208,11.656
32,70,32,399.991,451.871,10.895,11.447
32,80,32,389.115,447.657,10.655,11.330
32,90,32,381.055,442.237,10.482,11.227
32,100,32,374.800,440.751,10.362,11.180
32,110,32,369.079,438.789,10.254,11.119
32,120,32,362.986,442.130,10.152,11.133
32,130,32,357.168,443.156,10.064,11.149
32,140,32,351.939,445.971,9.981,11.164
32,150,32,346.955,451.703,9.888,11.208
32,10,64,1394.783,1314.520,22.411,21.807
32,20,64,563.358,558.940,13.937,13.810
32,30,64,431.135,472.304,11.590,12.003
32,40,64,400.486,448.644,10.857,11.378
32,50,64,383.159,442.702,10.463,11.112
32,60,64,369.029,436.931,10.208,11.120
32,70,64,355.973,432.790,9.979,10.930
32,80,64,344.323,438.351,9.803,10.955
32,90,64,335.206,443.558,9.681,11.043
32,100,64,323.769,435.816,9.490,10.912
32,110,64,313.667,441.588,9.326,10.978
32,120,64,303.066,448.143,9.185,11.043
32,130,64,292.810,446.381,9.036,11.077
32,140,64,285.061,449.527,8.904,11.064
32,150,64,273.956,454.476,8.722,11.101
32,10,128,627.650,606.617,14.839,14.434
32,20,128,411.518,459.964,11.191,11.640
32,30,128,375.020,433.906,10.350,10.944
32,40,128,351.619,422.751,9.901,10.716
32,50,128,332.978,432.076,9.609,10.848
32,60,128,315.017,438.740,9.324,10.845
32,70,128,297.323,443.776,9.041,10.899
32,80,128,283.040,449.243,8.821,11.016
32,90,128,263.088,453.926,8.502,11.063
32,100,128,246.556,457.667,8.239,11.053
32,110,128,233.494,476.254,8.027,11.277
32,120,128,220.254,471.034,7.795,11.198
32,130,128,210.739,479.683,7.635,11.332
32,140,128,199.041,468.084,7.406,11.246
32,150,128,189.034,482.498,7.214,11.429
32,10,256,437.536,463.310,11.744,11.883
32,20,256,379.227,429.851,10.431,10.810
32,30,256,349.729,423.648,9.858,10.597
32,40,256,321.118,422.497,9.384,10.668
32,50,256,294.454,434.716,8.968,10.714
32,60,256,266.841,438.838,8.528,10.752
32,70,256,239.529,447.750,8.082,10.925
32,80,256,219.237,466.815,7.741,11.230
32,90,256,199.382,474.452,7.387,11.263
32,100,256,182.588,478.376,7.093,11.353
32,110,256,168.357,483.118,6.807,11.474
32,120,256,153.802,487.469,6.516,11.517
32,130,256,144.554,479.510,6.356,11.423
32,140,256,136.342,482.110,6.176,11.446
32,150,256,128.195,477.232,6.012,11.454
32,10,512,410.719,437.835,11.065,11.291
32,20,512,371.487,418.889,10.211,10.752
32,30,512,339.255,426.237,9.689,10.817
32,40,512,302.701,430.876,9.112,10.785
32,50,512,266.803,448.087,8.533,11.015
32,60,512,229.843,460.737,7.916,11.141
32,70,512,202.956,469.448,7.448,11.350
32,80,512,174.969,483.317,6.902,11.608
32,90,512,153.272,490.798,6.478,11.768
32,100,512,133.800,503.154,6.051,11.840
32,110,512,120.740,502.990,5.718,11.779
32,120,512,106.059,502.972,5.361,11.750
32,130,512,97.578,496.264,5.166,11.665
32,140,512,81.880,498.700,4.725,11.634
32,150,512,75.214,501.842,4.509,11.723
64,10,32,3804.387,3722.412,36.453,36.193
64,20,32,2538.453,2486.110,29.904,29.743
64,30,32,1721.228,1694.812,24.738,24.716
